ear,mar,pitch_dev,label
0.2836,0.0,0.0,AWAKE
0.2882,0.0,0.0,AWAKE
0.2801,0.0159,0.0,AWAKE
0.2859,0.0,0.0,AWAKE
0.2864,0.0317,0.0,AWAKE
0.2842,0.0635,0.0,AWAKE
0.2868,0.0476,0.0,AWAKE
0.2868,0.0355,0.0,AWAKE
0.2946,0.0317,0.0,AWAKE
0.3003,0.0159,0.0,AWAKE
0.2669,0.0154,0.0,AWAKE
0.2661,0.0156,0.0,AWAKE
0.2654,0.0156,0.0,AWAKE
0.2574,0.0154,0.0,AWAKE
0.2539,0.0156,0.0,AWAKE
0.2582,0.0476,0.0,AWAKE
0.2813,0.0,0.0,AWAKE
0.2845,0.0154,0.0,AWAKE
0.2757,0.0154,0.0,AWAKE
0.2711,0.0156,0.0,AWAKE
0.2734,0.0159,0.0,AWAKE
0.2815,0.0159,0.0,AWAKE
0.2692,0.0156,0.0,AWAKE
0.2782,0.0224,0.0,AWAKE
0.2669,0.0224,0.0,AWAKE
0.2639,0.0159,0.0,AWAKE
0.2681,0.0156,0.0,AWAKE
0.2814,0.0159,0.0,AWAKE
0.267,0.0159,0.0,AWAKE
0.2822,0.0156,0.0,AWAKE
0.2752,0.0,0.0,AWAKE
0.2822,0.0156,0.0,AWAKE
0.2874,0.0156,0.0,AWAKE
0.2755,0.0154,0.0,AWAKE
0.2812,0.0156,0.0,AWAKE
0.2652,0.0,0.0,AWAKE
0.2705,0.0159,0.0,AWAKE
0.2748,0.0156,0.0,AWAKE
0.2631,0.0156,0.0,AWAKE
0.2694,0.0154,0.0,AWAKE
0.2738,0.0156,0.0,AWAKE
0.2828,0.0154,0.0,AWAKE
0.2599,0.0156,0.0,AWAKE
0.2546,0.0156,0.0,AWAKE
0.2548,0.0156,0.0,AWAKE
0.2527,0.0156,0.0,AWAKE
0.2602,0.0154,0.0,AWAKE
0.2489,0.0156,0.0,AWAKE
0.2593,0.0154,0.0,AWAKE
0.2541,0.0154,0.0,AWAKE
0.2588,0.0154,0.0,AWAKE
0.2528,0.0154,0.0,AWAKE
0.2644,0.0156,0.0,AWAKE
0.2679,0.0156,0.0,AWAKE
0.2708,0.0,0.0,AWAKE
0.2673,0.0154,0.0,AWAKE
0.2839,0.0156,0.0,AWAKE
0.2805,0.0154,0.0,AWAKE
0.2679,0.0,0.0,AWAKE
0.2577,0.0154,0.0,AWAKE
0.2593,0.0156,0.0,AWAKE
0.2466,0.0,0.0,AWAKE
0.2542,0.0,0.0,AWAKE
0.2539,0.0,0.0,AWAKE
0.2564,0.0221,0.0,AWAKE
0.2476,0.0221,0.0,AWAKE
0.2583,0.0156,0.0,AWAKE
0.2464,0.0154,0.0,AWAKE
0.2567,0.0156,0.0,AWAKE
0.2518,0.0156,0.0,AWAKE
0.2585,0.0156,0.0,AWAKE
0.2581,0.0156,0.0,AWAKE
0.2645,0.0,0.0,AWAKE
0.2645,0.0156,0.0,AWAKE
0.2752,0.0159,0.0,AWAKE
0.2581,0.0,0.0,AWAKE
0.2653,0.0154,0.0,AWAKE
0.2537,0.0156,0.0,AWAKE
0.2735,0.0156,0.0,AWAKE
0.2531,0.0156,0.0,AWAKE
0.2582,0.0159,0.0,AWAKE
0.2667,0.0156,0.0,AWAKE
0.2608,0.0,0.0,AWAKE
0.2547,0.0,0.0,AWAKE
0.2581,0.0,0.0,AWAKE
0.252,0.0,0.0,AWAKE
0.2403,0.0,0.0,AWAKE
0.2499,0.0154,0.0,AWAKE
0.2619,0.0154,0.0,AWAKE
0.2663,0.0156,0.0,AWAKE
0.266,0.0156,0.0,AWAKE
0.2584,0.0,0.0,AWAKE
0.2541,0.0,0.0,AWAKE
0.2596,0.0,0.0,AWAKE
0.2689,0.0,0.0,AWAKE
0.2659,0.0,0.0,AWAKE
0.2625,0.0154,0.0,AWAKE
0.272,0.0156,0.0,AWAKE
0.2722,0.0152,0.0,AWAKE
0.2592,0.0159,0.0,AWAKE
0.2547,0.0159,0.0,AWAKE
0.268,0.0156,0.0,AWAKE
0.2552,0.0,0.0,AWAKE
0.2635,0.0,0.0,AWAKE
0.2596,0.0,0.0,AWAKE
0.2581,0.0,0.0,AWAKE
0.2553,0.0159,0.0,AWAKE
